"filename", "language", "TOML", "source.markdown.math", "Rust", "comment", "blank", "total"
"/home/eden/ProjectRepo/my_ros/.cargo/config.toml", "TOML", 13, 0, 0, 0, 6, 19
"/home/eden/ProjectRepo/my_ros/Cargo.lock", "TOML", 322, 0, 0, 2, 45, 369
"/home/eden/ProjectRepo/my_ros/Cargo.toml", "TOML", 61, 0, 0, 7, 10, 78
"/home/eden/ProjectRepo/my_ros/README.md", "source.markdown.math", 0, 11, 0, 0, 8, 19
"/home/eden/ProjectRepo/my_ros/TODO.md", "source.markdown.math", 0, 3, 0, 0, 3, 6
"/home/eden/ProjectRepo/my_ros/benchmarks/TODO.md", "source.markdown.math", 0, 3, 0, 0, 2, 5
"/home/eden/ProjectRepo/my_ros/rustfmt.toml", "TOML", 1, 0, 0, 0, 1, 2
"/home/eden/ProjectRepo/my_ros/src/allocator.rs", "Rust", 0, 0, 94, 11, 28, 133
"/home/eden/ProjectRepo/my_ros/src/allocator/bump.rs", "Rust", 0, 0, 50, 18, 11, 79
"/home/eden/ProjectRepo/my_ros/src/allocator/fixed_size_block.rs", "Rust", 0, 0, 72, 20, 13, 105
"/home/eden/ProjectRepo/my_ros/src/allocator/linked_list.rs", "Rust", 0, 0, 104, 43, 20, 167
"/home/eden/ProjectRepo/my_ros/src/demo/concurrency.rs", "Rust", 0, 0, 86, 2, 11, 99
"/home/eden/ProjectRepo/my_ros/src/demo/cpu_exceptions.rs", "Rust", 0, 0, 4, 0, 1, 5
"/home/eden/ProjectRepo/my_ros/src/demo/double_fault.rs", "Rust", 0, 0, 6, 0, 1, 7
"/home/eden/ProjectRepo/my_ros/src/demo/heap_allocation.rs", "Rust", 0, 0, 22, 0, 8, 30
"/home/eden/ProjectRepo/my_ros/src/demo/memory.rs", "Rust", 0, 0, 36, 6, 6, 48
"/home/eden/ProjectRepo/my_ros/src/demo/mod.rs", "Rust", 0, 0, 13, 3, 4, 20
"/home/eden/ProjectRepo/my_ros/src/demo/println_eprintln.rs", "Rust", 0, 0, 8, 0, 2, 10
"/home/eden/ProjectRepo/my_ros/src/exit.rs", "Rust", 0, 0, 13, 0, 2, 15
"/home/eden/ProjectRepo/my_ros/src/gdt.rs", "Rust", 0, 0, 46, 0, 8, 54
"/home/eden/ProjectRepo/my_ros/src/interrupts.rs", "Rust", 0, 0, 121, 26, 24, 171
"/home/eden/ProjectRepo/my_ros/src/lib.rs", "Rust", 0, 0, 74, 6, 11, 91
"/home/eden/ProjectRepo/my_ros/src/main.rs", "Rust", 0, 0, 41, 2, 12, 55
"/home/eden/ProjectRepo/my_ros/src/memory.rs", "Rust", 0, 0, 94, 31, 22, 147
"/home/eden/ProjectRepo/my_ros/src/prelude.rs", "Rust", 0, 0, 0, 0, 2, 2
"/home/eden/ProjectRepo/my_ros/src/serial.rs", "Rust", 0, 0, 32, 3, 6, 41
"/home/eden/ProjectRepo/my_ros/src/task/executor.rs", "Rust", 0, 0, 103, 5, 17, 125
"/home/eden/ProjectRepo/my_ros/src/task/keyboard.rs", "Rust", 0, 0, 93, 8, 12, 113
"/home/eden/ProjectRepo/my_ros/src/task/mod.rs", "Rust", 0, 0, 68, 0, 13, 81
"/home/eden/ProjectRepo/my_ros/src/task/simple_executor.rs", "Rust", 0, 0, 44, 0, 8, 52
"/home/eden/ProjectRepo/my_ros/src/test_framework.rs", "Rust", 0, 0, 11, 0, 3, 14
"/home/eden/ProjectRepo/my_ros/src/utils/algorithms/graph_interface/cached_greedy_extreme_path.rs", "Rust", 0, 0, 441, 75, 64, 580
"/home/eden/ProjectRepo/my_ros/src/utils/algorithms/graph_interface/greedy_extreme_path.rs", "Rust", 0, 0, 409, 77, 64, 550
"/home/eden/ProjectRepo/my_ros/src/utils/algorithms/graph_interface/mod.rs", "Rust", 0, 0, 96, 0, 15, 111
"/home/eden/ProjectRepo/my_ros/src/utils/algorithms/mod.rs", "Rust", 0, 0, 1, 0, 1, 2
"/home/eden/ProjectRepo/my_ros/src/utils/collections/linked_list/iter.rs", "Rust", 0, 0, 109, 0, 16, 125
"/home/eden/ProjectRepo/my_ros/src/utils/collections/linked_list/mod.rs", "Rust", 0, 0, 414, 2, 72, 488
"/home/eden/ProjectRepo/my_ros/src/utils/collections/lru_cache.rs", "Rust", 0, 0, 212, 26, 35, 273
"/home/eden/ProjectRepo/my_ros/src/utils/collections/mod.rs", "Rust", 0, 0, 5, 0, 2, 7
"/home/eden/ProjectRepo/my_ros/src/utils/collections/trie.rs", "Rust", 0, 0, 81, 0, 15, 96
"/home/eden/ProjectRepo/my_ros/src/utils/collections/vec/iter.rs", "Rust", 0, 0, 115, 0, 16, 131
"/home/eden/ProjectRepo/my_ros/src/utils/collections/vec/mod.rs", "Rust", 0, 0, 376, 0, 45, 421
"/home/eden/ProjectRepo/my_ros/src/utils/collections/vec/slice.rs", "Rust", 0, 0, 26, 6, 10, 42
"/home/eden/ProjectRepo/my_ros/src/utils/mod.rs", "Rust", 0, 0, 2, 0, 1, 3
"/home/eden/ProjectRepo/my_ros/src/vga_buffer.rs", "Rust", 0, 0, 292, 19, 44, 355
"/home/eden/ProjectRepo/my_ros/tests/heap_allocation.rs", "Rust", 0, 0, 62, 1, 11, 74
"/home/eden/ProjectRepo/my_ros/tests/should_panic.rs", "Rust", 0, 0, 29, 0, 6, 35
"/home/eden/ProjectRepo/my_ros/tests/stack_overflow.rs", "Rust", 0, 0, 52, 3, 12, 67
"Total", "-", 397, 17, 3957, 402, 749, 5522
